name,address,url,restaurant_url,InMichelin,food,service,price,decor,number_of_reviews,excellent,very_good,average,poor,terrible,sentiment_polarity,sentiment_subjectivity
Mizumi at Wynn Macau,"Rua Cidade de Sintra, NAPE, Alameda Dutor Carlos d'Assumpcao G/F, Wynn Macau, Macau China",https://www.tripadvisor.com/Restaurant_Review-g664891-d10513195-Reviews-Mizumi_at_Wynn_Macau-Macau.html#REVIEWS,http://www.wynnmacau.com/en/restaurants-n-bars/fine-dining/mizumi,1,45,45,40,,53,23,3,5,1,1,0.355568236,0.601444677
Wing Lei,"Rua Cidade de Sintra, NAPE G/F, Wynn Macau, Macau China",https://www.tripadvisor.com/Restaurant_Review-g664891-d1217731-Reviews-Wing_Lei-Macau.html#REVIEWS,http://wynnmacau.com/en/restaurants-n-bars/fine-dining/wing-lei,1,45,40,40,40,175,34,13,8,4,2,,
Alain Ducasse at The Dorchester,"53 Park Lane Closest tube stations: Hyde Park Corner and Marble Arch, London W1K 1QA England",https://www.tripadvisor.com/Restaurant_Review-g186338-d1205756-Reviews-Alain_Ducasse_at_The_Dorchester-London_England.html#REVIEWS,https://www.dorchestercollection.com/london/the-dorchester/dining/alain-ducasse,1,45,45,40,45,1763,1033,238,143,83,46,0.31883725,0.594747189
Tin Lung Heen,"1 Austin Road West 102/F, The Ritz-Carlton, International Commerce Centre, Hong Kong China",https://www.tripadvisor.com/Restaurant_Review-g294217-d2399904-Reviews-Tin_Lung_Heen-Hong_Kong.html#REVIEWS,https://www.tinlungheen.com/,1,45,50,40,45,1723,945,151,40,16,14,,
L'Atelier de Joel Robuchon,"15 Queen's Road Central, Hong Kong China",https://www.tripadvisor.com/Restaurant_Review-g294217-d809453-Reviews-L_Atelier_de_Joel_Robuchon-Hong_Kong.html#REVIEWS,http://www.robuchon.hk/,1,45,45,40,45,840,377,145,55,25,16,0.239495729,0.49133353
Spring Moon,"Salisbury Road, Kowloon The Peninsula Hong Kong, Hong Kong China",https://www.tripadvisor.com/Restaurant_Review-g294217-d812337-Reviews-Spring_Moon-Hong_Kong.html#REVIEWS,http://www.peninsula.com/springmoon/,1,45,45,35,45,400,136,49,22,9,7,0.239888651,0.562787437
L'Envol,"35 rue Gustave Flaubert Angle Rue Bel Air, 84300 Cavaillon France",https://www.tripadvisor.com/Restaurant_Review-g187214-d11760155-Reviews-L_Envol-Cavaillon_Luberon_Vaucluse_Provence_Alpes_Cote_d_Azur.html#REVIEWS,http://lenvolcavaillon.fr/,1,50,50,45,,340,20,1,0,0,0,0.457477436,0.643174421
Tin Lung Heen,"1 Austin Road West 102/F, The Ritz-Carlton, International Commerce Centre, Hong Kong China",https://www.tripadvisor.com/Restaurant_Review-g294217-d2399904-Reviews-Tin_Lung_Heen-Hong_Kong.html#REVIEWS,https://www.tinlungheen.com/,1,45,50,40,45,1723,945,151,40,16,14,,
Feng Wei Ju,"Avenida da Amizade 5F StarWorld Hotel, Macau China",https://www.tripadvisor.com/Restaurant_Review-g664891-d11854281-Reviews-Feng_Wei_Ju-Macau.html#REVIEWS,http://www.starworldmacau.com/en/taste/restaurant#feng-wei-ju,1,40,45,35,,37,8,2,1,0,2,,
Amber,"No.15 Queen's Road Central 7/F, The Landmark Mandarin Oriental, Hong Kong China",https://www.tripadvisor.com/Restaurant_Review-g294217-d939504-Reviews-Amber-Hong_Kong.html#REVIEWS,https://www.mandarinoriental.com/en/hong-kong/the-landmark/dine/amber?src=loc.local_listing.lmhkg.yxt,1,45,45,40,45,1146,656,147,60,17,12,0.386633024,0.621483498
Lai Ching Heen - Regent Hong Kong,"18 Salisbury Road, Tsim Sha Tsui, Hong Kong China",https://www.tripadvisor.com/Restaurant_Review-g294217-d927163-Reviews-Lai_Ching_Heen_Regent_Hong_Kong-Hong_Kong.html#REVIEWS,http://hongkong.regenthotels.com/lai-ching-heen/,1,45,45,40,40,956,504,105,26,10,6,0.366328548,0.570545889
Ying Jee Club,"41 Connaught Road Central, Central Shop G05, 107& 108, G/F, Nexxus Building,, Hong Kong China",https://www.tripadvisor.com/Restaurant_Review-g294217-d12906635-Reviews-Ying_Jee_Club-Hong_Kong.html#REVIEWS,http://yingjeeclub.hk/,1,45,50,40,,61,19,11,2,1,1,0.253322739,0.597545735
De Nieuwe Winkel,"Gebroeders Van Limburgplein 7, 6511 BW Nijmegen The Netherlands",https://www.tripadvisor.com/Restaurant_Review-g188569-d2430614-Reviews-De_Nieuwe_Winkel-Nijmegen_Gelderland_Province.html#REVIEWS,http://www.denieuwewinkel.com/nl/,1,45,45,45,40,231,30,6,2,2,0,,
Restaurant Schwarzwaldstube,"Tonbachstrasse 237 Hotel Traube Tonbach, 72270, Baiersbronn, Baden-Wurttemberg Germany",https://www.tripadvisor.com/Restaurant_Review-g187279-d718344-Reviews-Restaurant_Schwarzwaldstube-Baiersbronn_Baden_Wurttemberg.html#REVIEWS,http://www.traube-tonbach.de/,1,50,45,45,45,440,64,18,1,0,1,0.369546468,0.604165674
Restaurant Flore,"Nieuwe Doelenstraat 2-14, 1012 CP Amsterdam The Netherlands",https://www.tripadvisor.com/Restaurant_Review-g188590-d2315768-Reviews-Restaurant_Flore-Amsterdam_North_Holland_Province.html#REVIEWS,https://www.facebook.com/RestaurantFlore/,1,45,45,40,45,793,371,55,20,9,11,0.37172722,0.638639311
Restaurant Julemont,"Wittemer Allee 3 Chateau Wittem, 6286 AA Wittem The Netherlands",https://www.tripadvisor.com/Restaurant_Review-g1045126-d4430051-Reviews-Restaurant_Julemont-Wittem_Limburg_Province.html#REVIEWS,http://www.chateauwittem.com/,1,45,45,40,45,99,8,1,2,0,1,0.490419501,0.59744898
